"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.617513370E-1,-1.517923832E0,9.684844971E0,-2.633621916E-2,9.803112182E0
2.637513370E-1,-1.520318031E0,9.658509254E0,-3.112462163E-2,9.777481101E0
2.657513370E-1,-1.525106430E0,9.660902977E0,-2.154781483E-2,9.780565437E0
2.677508370E-1,-1.529894829E0,9.658509254E0,-2.633621916E-2,9.778960722E0
2.697505030E-1,-1.520318031E0,9.658509254E0,-3.591302410E-2,9.777497516E0
2.717502530E-1,-1.510741234E0,9.648932457E0,-3.112462163E-2,9.766534973E0
2.737500530E-1,-1.527500629E0,9.639355659E0,-3.351882473E-2,9.759690529E0
2.757498860E-1,-1.513135433E0,9.632172585E0,-2.633621916E-2,9.750334411E0
2.777497430E-1,-1.503558636E0,9.615413666E0,-1.436521020E-2,9.732269771E0
2.797496180E-1,-1.491587639E0,9.610625267E0,-1.915361360E-2,9.725704014E0
2.817495060E-1,-1.472434044E0,9.598653793E0,-7.182605099E-3,9.710935498E0
2.837494060E-1,-1.470039845E0,9.598653793E0,-2.394201700E-3,9.710570401E0
2.857493150E-1,-1.474828243E0,9.593865395E0,7.182605099E-3,9.706565981E0
2.877492310E-1,-1.465251446E0,9.574711800E0,7.182605099E-3,9.686181881E0
2.897491540E-1,-1.465251446E0,9.577106476E0,7.182605099E-3,9.688549006E0
2.917490820E-1,-1.455674648E0,9.596260071E0,1.436521020E-2,9.706049783E0
2.937490150E-1,-1.448492050E0,9.608230591E0,-1.436521020E-2,9.716811754E0
2.957473270E-1,-1.436521053E0,9.613018990E0,-1.675941236E-2,9.719774056E0
2.977457380E-1,-1.436521053E0,9.613018990E0,-1.675941236E-2,9.719774056E0
2.997457380E-1,-1.431732655E0,9.605836868E0,-1.197100803E-2,9.711956736E0
3.017457380E-1,-1.453280449E0,9.608230591E0,-7.182605099E-3,9.717518754E0
3.037457380E-1,-1.458068848E0,9.639355659E0,-2.633621916E-2,9.749042819E0
3.057457380E-1,-1.434126854E0,9.634567261E0,-1.915361360E-2,9.740737806E0
3.077457380E-1,-1.431732655E0,9.653720856E0,-1.675941236E-2,9.759327110E0
3.097457380E-1,-1.419761658E0,9.665691376E0,-1.675941236E-2,9.769421365E0
3.117457380E-1,-1.405396342E0,9.677662849E0,-2.154781483E-2,9.779200449E0
3.137457380E-1,-1.398213744E0,9.677662849E0,-1.915361360E-2,9.778165818E0
3.157452380E-1,-1.391031146E0,9.680056572E0,-1.675941236E-2,9.779506315E0
3.177452000E-1,-1.369483352E0,9.687239647E0,-2.154781483E-2,9.783586302E0
3.197451640E-1,-1.369483352E0,9.699210167E0,-3.351882473E-2,9.795472731E0
3.217451290E-1,-1.379060149E0,9.701604843E0,-2.154781483E-2,9.799153419E0
3.237450950E-1,-1.381454349E0,9.703998566E0,-1.675941236E-2,9.801851109E0
3.257450610E-1,-1.374271750E0,9.687239647E0,-4.788403399E-3,9.784235164E0
3.277450610E-1,-1.376665950E0,9.687239647E0,0.000000000E0,9.784570564E0
3.297450610E-1,-1.379060149E0,9.684844971E0,1.915361360E-2,9.782555692E0
3.317450940E-1,-1.359906554E0,9.677662849E0,1.197100803E-2,9.772750246E0
3.337451270E-1,-1.393425345E0,9.656114578E0,3.591302410E-2,9.756201755E0
3.357442930E-1,-1.393425345E0,9.656114578E0,3.591302410E-2,9.756201755E0
3.377434590E-1,-1.388636947E0,9.639355659E0,4.070143029E-2,9.738949980E0
3.397434920E-1,-1.391031146E0,9.634567261E0,4.788403213E-2,9.734585088E0
