"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.715847000E-2,4.357447028E-1,9.835680008E0,3.830722570E-1,9.852777224E0
1.915847000E-2,4.620809257E-1,9.823708534E0,3.663128614E-1,9.841389803E0
2.115847000E-2,4.979939461E-1,9.773430824E0,3.447650373E-1,9.792181114E0
2.315847000E-2,5.554547906E-1,9.742305756E0,3.208230138E-1,9.763399964E0
2.515847000E-2,5.722141862E-1,9.727940559E0,3.040636182E-1,9.749498002E0
2.715847000E-2,5.865794420E-1,9.703998566E0,2.873041928E-1,9.725955341E0
2.915327000E-2,5.865794420E-1,9.703998566E0,2.873041928E-1,9.725955341E0
3.114893600E-2,5.865794420E-1,9.703998566E0,2.873041928E-1,9.725955341E0
3.314893600E-2,5.865794420E-1,9.715970039E0,2.944868207E-1,9.738114383E0
3.514906100E-2,6.368576288E-1,9.720758438E0,4.261679053E-1,9.750915410E0
3.714917200E-2,5.793967843E-1,9.794978142E0,2.825157940E-1,9.816165881E0
3.914927200E-2,5.171475410E-1,9.790189743E0,2.681505978E-1,9.807505367E0
4.114936200E-2,5.267243981E-1,9.780612946E0,2.705447972E-1,9.798521453E0
4.314944500E-2,5.219359994E-1,9.780612946E0,2.920926213E-1,9.798883859E0
4.514952100E-2,5.099649429E-1,9.794978142E0,2.825157940E-1,9.812312480E0
4.714959200E-2,4.884171486E-1,9.804554939E0,3.208230138E-1,9.821953791E0
4.914965800E-2,5.075707436E-1,9.802161217E0,3.663128614E-1,9.822126943E0
5.114965800E-2,5.195417404E-1,9.790189743E0,3.950432837E-1,9.811921220E0
5.314965800E-2,5.195417404E-1,9.756670952E0,4.381389022E-1,9.780312744E0
5.514965800E-2,5.075707436E-1,9.766247749E0,4.381389022E-1,9.789238421E0
5.714965800E-2,5.003881454E-1,9.766247749E0,4.357447028E-1,9.788761763E0
5.914965800E-2,4.836287498E-1,9.744700432E0,4.046200812E-1,9.765080680E0
6.114965800E-2,4.716577232E-1,9.732728958E0,3.567360640E-1,9.750678674E0
6.314965800E-2,4.716577232E-1,9.735123634E0,3.327940404E-1,9.752222570E0
6.514965800E-2,4.644751251E-1,9.737517357E0,3.112462163E-1,9.753556050E0
6.714969900E-2,4.908113480E-1,9.766247749E0,3.351882398E-1,9.784316125E0
6.914869900E-2,4.908113480E-1,9.766247749E0,3.351882398E-1,9.784316125E0
7.114773700E-2,4.908113480E-1,9.766247749E0,3.351882398E-1,9.784316125E0
7.314777400E-2,4.812345505E-1,9.771036148E0,3.495534360E-1,9.789122622E0
7.514780900E-2,4.955997467E-1,9.778219223E0,3.567360640E-1,9.797267522E0
7.714784300E-2,5.051765442E-1,9.759065628E0,3.639186621E-1,9.778905975E0
7.914787600E-2,5.123591423E-1,9.771036148E0,3.711012602E-1,9.791495057E0
8.114790900E-2,5.267243981E-1,9.775824547E0,3.615244627E-1,9.796677197E0
8.314790900E-2,5.267243981E-1,9.768642426E0,3.639186621E-1,9.789599084E0
8.514790900E-2,5.386953950E-1,9.759065628E0,3.567360640E-1,9.780430220E0
8.714790900E-2,5.386953950E-1,9.754277229E0,3.758896589E-1,9.776369982E0
8.914877500E-2,5.386953950E-1,9.754277229E0,3.687070608E-1,9.776096455E0
9.114964100E-2,5.434837937E-1,9.761459351E0,3.687070608E-1,9.783527390E0
9.314964100E-2,5.434837937E-1,9.763854027E0,3.758896589E-1,9.786189919E0
9.514960700E-2,5.410895944E-1,9.759065628E0,3.854664862E-1,9.781652432E0
9.714957300E-2,5.386953950E-1,9.744700432E0,3.830722570E-1,9.767093917E0
9.914953900E-2,5.075707436E-1,9.747094154E0,3.758896589E-1,9.767536309E0
1.011495050E-1,4.908113480E-1,9.749488831E0,3.711012602E-1,9.768886548E0
1.031494710E-1,4.405331016E-1,9.739912033E0,3.687070608E-1,9.756838664E0
1.051494370E-1,4.213795066E-1,9.735123634E0,3.687070608E-1,9.751212118E0
1.071494030E-1,3.926490843E-1,9.730335236E0,3.711012602E-1,9.745322634E0
1.091485030E-1,3.926490843E-1,9.730335236E0,3.711012602E-1,9.745322634E0
1.111476360E-1,3.926490843E-1,9.730335236E0,3.711012602E-1,9.745322634E0
1.131476690E-1,4.046200812E-1,9.737517357E0,3.734954596E-1,9.753074415E0
1.151477020E-1,4.070142806E-1,9.744700432E0,3.782838583E-1,9.760529996E0
1.171477350E-1,4.237737060E-1,9.751882553E0,3.830722570E-1,9.768599789E0
1.191477680E-1,4.381389022E-1,9.759065628E0,3.734954596E-1,9.776033270E0
1.211478010E-1,4.405331016E-1,9.759065628E0,3.687070608E-1,9.775959096E0
1.231478340E-1,4.788403511E-1,9.768642426E0,3.663128614E-1,9.787228823E0
1.251478670E-1,4.908113480E-1,9.780612946E0,3.615244627E-1,9.799591079E0
1.271478670E-1,5.195417404E-1,9.773430824E0,3.711012602E-1,9.794263109E0
1.291487000E-1,5.291185975E-1,9.771036148E0,3.854664862E-1,9.792941249E0
1.311495330E-1,5.434837937E-1,9.773430824E0,3.543418646E-1,9.794941698E0
1.331494990E-1,5.482721925E-1,9.775824547E0,3.519476354E-1,9.797510659E0
1.351494650E-1,5.506663918E-1,9.785401344E0,3.423708379E-1,9.806861411E0
1.371494310E-1,5.434837937E-1,9.797372818E0,3.423708379E-1,9.818406518E0
1.391493970E-1,5.554547906E-1,9.804554939E0,3.351882398E-1,9.825995051E0
1.411493630E-1,5.578489900E-1,9.806949615E0,3.303998411E-1,9.828357966E0
1.431496630E-1,5.458779931E-1,9.806949615E0,3.327940404E-1,9.827766553E0
1.451496960E-1,5.434837937E-1,9.778219223E0,3.399766386E-1,9.799210679E0
1.471497290E-1,5.386953950E-1,9.785401344E0,3.447650373E-1,9.806280392E0
1.491488950E-1,5.386953950E-1,9.785401344E0,3.447650373E-1,9.806280392E0
1.511480610E-1,5.386953950E-1,9.785401344E0,3.447650373E-1,9.806280392E0
1.531479610E-1,5.410895944E-1,9.778219223E0,3.471592367E-1,9.799330011E0
1.551479940E-1,5.267243981E-1,9.756670952E0,3.423708379E-1,9.776874984E0
