"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.571160900E-1,-5.291185975E-1,9.742305756E0,2.442085743E-1,9.759719553E0
2.591160900E-1,-5.075707436E-1,9.735123634E0,2.202665508E-1,9.750834712E0
2.611160900E-1,-5.003881454E-1,9.735123634E0,2.011129409E-1,9.750049584E0
2.631165900E-1,-4.716577232E-1,9.749488831E0,1.939303428E-1,9.762817341E0
2.651169230E-1,-4.668693244E-1,9.759065628E0,2.130839527E-1,9.772550009E0
2.671171730E-1,-4.692635238E-1,9.763854027E0,2.202665508E-1,9.777605590E0
2.691173730E-1,-4.764461517E-1,9.761459351E0,2.370259613E-1,9.775953708E0
2.711132060E-1,-4.764461517E-1,9.761459351E0,2.370259613E-1,9.775953708E0
2.731096340E-1,-4.764461517E-1,9.761459351E0,2.370259613E-1,9.775953708E0
2.751097590E-1,-4.812345505E-1,9.761459351E0,2.418143749E-1,9.776305516E0
2.771098700E-1,-4.812345505E-1,9.747094154E0,2.370259613E-1,9.761844726E0
2.791098700E-1,-4.596867263E-1,9.739912033E0,2.370259613E-1,9.753634174E0
2.811098700E-1,-4.429273009E-1,9.739912033E0,2.609679997E-1,9.753469911E0
2.831098700E-1,-4.453215301E-1,9.727940559E0,2.729389966E-1,9.741952293E0
2.851098700E-1,-4.381389022E-1,9.732728958E0,2.681505978E-1,9.746275361E0
2.871098700E-1,-4.189853072E-1,9.742305756E0,2.466027737E-1,9.754428894E0
2.891098700E-1,-4.022258818E-1,9.763854027E0,2.513911724E-1,9.775368466E0
2.911098700E-1,-3.926490843E-1,9.759065628E0,2.466027737E-1,9.770074113E0
2.931098700E-1,-3.567360640E-1,9.766247749E0,2.274491638E-1,9.775407349E0
2.951098700E-1,-3.399766386E-1,9.766247749E0,1.939303428E-1,9.774087589E0
2.971098700E-1,-3.160346150E-1,9.766247749E0,1.675941199E-1,9.772796978E0
2.991098700E-1,-3.064578176E-1,9.780612946E0,1.484405100E-1,9.786538743E0
3.011098700E-1,-2.896983922E-1,9.780612946E0,1.364694983E-1,9.785854008E0
3.031098700E-1,-2.777273953E-1,9.799766541E0,1.101332754E-1,9.804319767E0
3.051098700E-1,-2.777273953E-1,9.792584419E0,1.149216816E-1,9.797195982E0
3.071098700E-1,-2.753331959E-1,9.814131737E0,1.221042871E-1,9.818752445E0
3.091098700E-1,-2.585737705E-1,9.814131737E0,1.364694983E-1,9.818485935E0
3.111089080E-1,-2.585737705E-1,9.814131737E0,1.364694983E-1,9.818485935E0
3.131079820E-1,-2.585737705E-1,9.814131737E0,1.364694983E-1,9.818485935E0
3.151077320E-1,-2.442085743E-1,9.811738014E0,1.221042871E-1,9.815536162E0
3.171077660E-1,-2.226607651E-1,9.811738014E0,1.005564705E-1,9.814779278E0
3.191077990E-1,-2.178723514E-1,9.816526413E0,8.140286058E-2,9.819281318E0
