Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.01715847,0.435744703,9.835680008,0.383072257,9.852777224
0.01915847,0.462080926,9.823708534,0.366312861,9.841389803
0.02115847,0.497993946,9.773430824,0.344765037,9.792181114
0.02315847,0.555454791,9.742305756,0.320823014,9.763399964
0.02515847,0.572214186,9.727940559,0.304063618,9.749498002
0.02715847,0.586579442,9.703998566,0.287304193,9.725955341
0.02915327,0.586579442,9.703998566,0.287304193,9.725955341
0.031148936,0.586579442,9.703998566,0.287304193,9.725955341
0.033148936,0.586579442,9.715970039,0.294486821,9.738114383
0.035149061,0.636857629,9.720758438,0.426167905,9.75091541
0.037149172,0.579396784,9.794978142,0.282515794,9.816165881
0.039149272,0.517147541,9.790189743,0.268150598,9.807505367
0.041149362,0.526724398,9.780612946,0.270544797,9.798521453
0.043149445,0.521935999,9.780612946,0.292092621,9.798883859
0.045149521,0.509964943,9.794978142,0.282515794,9.81231248
0.047149592,0.488417149,9.804554939,0.320823014,9.821953791
0.049149658,0.507570744,9.802161217,0.366312861,9.822126943
0.051149658,0.51954174,9.790189743,0.395043284,9.81192122
0.053149658,0.51954174,9.756670952,0.438138902,9.780312744
0.055149658,0.507570744,9.766247749,0.438138902,9.789238421
0.057149658,0.500388145,9.766247749,0.435744703,9.788761763
0.059149658,0.48362875,9.744700432,0.404620081,9.76508068
0.061149658,0.471657723,9.732728958,0.356736064,9.750678674
0.063149658,0.471657723,9.735123634,0.33279404,9.75222257
0.065149658,0.464475125,9.737517357,0.311246216,9.75355605
0.067149699,0.490811348,9.766247749,0.33518824,9.784316125
0.069148699,0.490811348,9.766247749,0.33518824,9.784316125
0.071147737,0.490811348,9.766247749,0.33518824,9.784316125
0.073147774,0.481234551,9.771036148,0.349553436,9.789122622
0.075147809,0.495599747,9.778219223,0.356736064,9.797267522
0.077147843,0.505176544,9.759065628,0.363918662,9.778905975
0.079147876,0.512359142,9.771036148,0.37110126,9.791495057
0.081147909,0.526724398,9.775824547,0.361524463,9.796677197
0.083147909,0.526724398,9.768642426,0.363918662,9.789599084
0.085147909,0.538695395,9.759065628,0.356736064,9.78043022
0.087147909,0.538695395,9.754277229,0.375889659,9.776369982
0.089148775,0.538695395,9.754277229,0.368707061,9.776096455
0.091149641,0.543483794,9.761459351,0.368707061,9.78352739
0.093149641,0.543483794,9.763854027,0.375889659,9.786189919
0.095149607,0.541089594,9.759065628,0.385466486,9.781652432
0.097149573,0.538695395,9.744700432,0.383072257,9.767093917
0.099149539,0.507570744,9.747094154,0.375889659,9.767536309
0.101149505,0.490811348,9.749488831,0.37110126,9.768886548
0.103149471,0.440533102,9.739912033,0.368707061,9.756838664
0.105149437,0.421379507,9.735123634,0.368707061,9.751212118
0.107149403,0.392649084,9.730335236,0.37110126,9.745322634
0.109148503,0.392649084,9.730335236,0.37110126,9.745322634
0.111147636,0.392649084,9.730335236,0.37110126,9.745322634
0.113147669,0.404620081,9.737517357,0.37349546,9.753074415
0.115147702,0.407014281,9.744700432,0.378283858,9.760529996
0.117147735,0.423773706,9.751882553,0.383072257,9.768599789
0.119147768,0.438138902,9.759065628,0.37349546,9.77603327
0.121147801,0.440533102,9.759065628,0.368707061,9.775959096
0.123147834,0.478840351,9.768642426,0.366312861,9.787228823
0.125147867,0.490811348,9.780612946,0.361524463,9.799591079
0.127147867,0.51954174,9.773430824,0.37110126,9.794263109
0.1291487,0.529118598,9.771036148,0.385466486,9.792941249
0.131149533,0.543483794,9.773430824,0.354341865,9.794941698
0.133149499,0.548272193,9.775824547,0.351947635,9.797510659
0.135149465,0.550666392,9.785401344,0.342370838,9.806861411
0.137149431,0.543483794,9.797372818,0.342370838,9.818406518
0.139149397,0.555454791,9.804554939,0.33518824,9.825995051
0.141149363,0.55784899,9.806949615,0.330399841,9.828357966
0.143149663,0.545877993,9.806949615,0.33279404,9.827766553
0.145149696,0.543483794,9.778219223,0.339976639,9.799210679
0.147149729,0.538695395,9.785401344,0.344765037,9.806280392
0.149148895,0.538695395,9.785401344,0.344765037,9.806280392
0.151148061,0.538695395,9.785401344,0.344765037,9.806280392
0.153147961,0.541089594,9.778219223,0.347159237,9.799330011
0.155147994,0.526724398,9.756670952,0.342370838,9.776874984
0.157148027,0.500388145,9.768642426,0.344765037,9.787524001
0.15914806,0.488417149,9.761459351,0.342370838,9.779665524
0.16114806,0.502782345,9.747094154,0.349553436,9.76631057
0.16314806,0.509964943,9.751882553,0.356736064,9.771721353
0.16514806,0.502782345,9.747094154,0.359130263,9.766658031
